# JUDUL: E-Mail-Adressen von internationalen Rundfunkstationen
# DESKRIPSI: Daftar email stasiun radio internasional
# UPDATE: 31 Desember 2025
# SUMBER: Hans-Friedrich Dumrese
# SEPARATOR: |
# KOLOM: Nama Radio|Email|Negara

Aasiaat R|bm@telepost.gl|Greenland
ABC Northern Territory|reception.advice@abc.net.au|Australia
ABC Perth|mcr.perth@a2.abc.net.au|Australia
Absolute R|peter.fletcher@bauerservices.co.uk|UK
Absolute R|studio@absoluteradio.co.uk|UK
Acuarela,CX 152|acuarela@montevideo.com.uy|Uruguay
ADDX|kurier@addx.de|Germany
Adventist World Radio|info@awr.org|USA
Adventist World Radio|letters@awr.org|USA
Adventist World Radio|qsl@awr.org|USA
Adventist World Radio|wawescan@awr.org|USA
Adventist World Radio|mail@awr.org|UK
Adventist World Radio|web@awr.org|UK
Adventist World Radio|victor@awr.org|UK
Adventist World Radio Africa|africa@awr.org|Africa
Adventist World Radio Bulgaria|awr_bg@abv.bg|Bulgaria
Adventist World Radio Frequency Management Office|dedio@awr.org|Germany
Adventist World Radio Frequency Management Office|pino@awr.org|Germany
Adventist World Radio Germany|dxer@stimme-der-hoffnung.de|Germany
Adventist World Radio Germany|technik@stimme-der-hoffnung.de|Germany
Adventist World Radio Guam|ana@awr.org|Guam
Adventist World Radio Guam|mondragona@gc.adventist.org|Guam
Adventist World Radio Listener Service|marju@awr.org|USA
Adventist World Radio Pacific Region|radio@awr.org|Singapore
Adventist World Radio PanAmerica|rmadvent@sol.racsa.co.cr|Costa Rica
Adventist World Radio R Lira|canara@sol.racsa.co.cr|Costa Rica
Adventist World Radio Studio DX|info@studiodx.net|USA
Adventist World Radio Vo Hope|golosnadezhdi@gmail.com|Russia
Adventist World Radio Wavescan|radio@awr.org|USA
Adventist World Radio Wavescan|wavescan@awr.org|USA
Adventist World Radio Wavescan|adrian.m.peterson@gmail.com|USA
Adventist World Radio Wavescan|adrian@awr.org|USA
Adventist World Radio|goad@gc.adventist.org|USA
AFRTS Diego Garcia|bennettmc@dg.navy.mil|British Indian Ocean Territory
AFRTS Diego Garcia|contactus@myafn.net|British Indian Ocean Territory
AFRTS Diego Garcia|qsl@dodmedia.osd.mil|British Indian Ocean Territory
AFRTS Keflavik|keflavik@mediacen.navy.mil|Iceland
AFRTS Keflavik|patricia.huizinga@naskef.navy.mil|Iceland
AFRTS Key West/Puerto Rico|barkecp@dodmedia.osd.mil|Puerto Rico
AFRTS Puerto Rico|robert.winkler@dodmedia.osd.mil|Puerto Rico
AFRTS|afrtops1@dma.mil|USA
AFRTS|qsl@dodmedia.osd.mil|USA
AFRTS|qsl@mediacen.navy.mil|USA
AFRTS|technologist@dma.mil|USA
AGDX|qsl@agdx.de|Germany
Alcaraván R|rafaelcoldx@yahoo.com|Colombia
Akasvani Aizawl|aizawl@air.org.in|India
Akasvani Aligarh|aligarh@air.org.in|India
Akasvani Bangalore|esd.gos@air.org.in|India
Akasvani Bangalore|gosesdair@yahoo.co.in|India
Akasvani Bangalore|rajendiran45@yahoo.com|India
Akasvani Bhadravati|airbdt@vsnl.net.in|India
Akasvani Bhopal|bhopal@air.org.in|India
Akasvani Chennai|airavadi@dataone.in|India
Akasvani Chhatarpur|airchtp@bom6.vsnl.net.in|India
Akasvani Cuttack|airctc@usa.net|India
Akasvani Delhi CE North Zone|abmathur@air.org.in|India
Akasvani Delhi Kingsway|hptkingsway@yahoo.com|India
Akasvani Dibrugarh|airdbr@sancharnet.in|India
Akasvani Gangtok|airgtk@rediffmail.com|India
Akasvani Gangtok|gangtok@prasarbharati.gov.in|India
Akasvani Gwalior|seairgwl@gwr1.dot.net.in|India
Akasvani Hyderabad|hyderabad@air.org.in|India
Akasvani Imphal|imphal@air.org.in|India
Akasvani Itanagar|airitanagar@gmail.com|India
Akasvani Itanagar|itanagar@air.org.in|India
Akasvani Jaipur|jaipur@air.org.in|India
Akasvani Jeypore|jeypore@air.org.in|India
Akasvani Khampur|hptkhampur@yahoo.co.in|India
Akasvani Kohima|kohima@air.org.in|India
Akasvani Kolkata|kolkata@air.org.in|India
Akasvani Kurseong|kurseong@air.org.in|India
Akasvani Leh/R Kashmir|leh@air.org.in|India
Akasvani Leh/R Kashmir|seairleh@rediffmail.com|India
Akasvani Lucknow|lucknow@air.org.in|India
Akasvani Lucknow|seairlko@sancharnet.in|India
Akasvani Mumbai|airmumbaibh@gmail.com|India
Akasvani Panaji|panaji.spt@air.org.in|India
Akasvani Port Blair|portblair@air.org.in|India
Akasvani Shillong|air_neshillong@yahoo.com|India
Akasvani Shillong|shillong@air.org.in|India
Akasvani Shimla|shimla@air.org.in|India
Akasvani Srinagar/R Kashmir|rks_se@yahoo.co.in|India
Akasvani Thiruvanantapuram|sd@airtvm.com|India
Akasvani|airlive@air.org.in|India
Akasvani Russian Service|air.esdrus@gmail.com|India
Akasvani Spectrum Management|spectrum-manager@prasarbharati.gov.in|India
Allied Voice 193. Spec. Ops Wing|193sow@pamdt.ang.af.mil|USA
Alpha 103,2|admin@alpharadio.demon.co.uk|UK
AM 1630|escande@red92.com|Argentina
AM 1670 Buenos Aires|1670@starmedia.com|Argentina
Amhara Reg State R|ammawebmaster@yahoo.com|Ethiopia
Amhara Reg State R|dereradio2000@yahoo.com|Ethiopia
Amica R Veneta|amicaradioveneta@yahoo.com|Italy
Amica R Vigonza|redazione@cuorebatticuore.it|Italy
Anglo Parade R|info@angloparade.com|USA
Annoeska Surf R|annoeska@surfradio.nl|Netherlands
Antenne Saar|ggehring@sr-online.de|Germany
Apsua R|apsuaradio@mail.ru|Georgia
Ar R Intercontinental|aa@arradio.am|Armenia
Arab Women's Day Service|info@arabwomantoday.com|International
Arab Women's Day Service|info@awtministries.com|International
Arctic R Morokulien|arctic.radio.morokulien@telia.com|Norway/Sweden
ARDS Darwin|dale@ards.com.au|Australia
Armenian National R|info@armradio.am|Armenia
Armenian National R|pr@armradio.am|Armenia
Asian Sound R|asiansound@aol.com|UK
Asian Sound R|info@asiansoundradio.co.uk|UK
Atlantic 2000 International|atlantic2000international@gmail.com|France
Atlantic R|studio@atlanticradio.ie|Ireland
Auckland Volmet|tim.halpim@airways.co.nz|New Zealand
Azerbaijan R & TV|root@aztv.baku.az|Azerbaijan
Babcock Cyprus|andreas.themistocleous@babcock.co.uk|Cyprus
Babcock Cyprus|andreas.themistocleous@babcockinternational.com|Cyprus
Babcock test transmissions|testtransmission@gmail.com|International
Baltic Sea R|balticseapirate@gmail.com|Finland
